"Index URL



",Document URL,Document date,Document title,Document type,Document Keywords,,
http://www.justice.gov/atr/cases/almayeinc.html,http://www.justice.gov/atr/cases/f0700/0708.htm,5/30/1996,Information,Informations,antitrust,,
http://www.justice.gov/atr/cases/almaye0.htm,http://www.justice.gov/atr/cases/f205800/205866.htm,8/16/1996,A&L Mayer (Tampico Fiber) Final Judgment,Final Judgments + Proposed Final Judgments,antitrust,,
http://www.justice.gov/atr/cases/almaye0.htm,http://www.justice.gov/atr/cases/f205800/205835.htm,5/30/1996,U.S. v. A&L Mayer - Competitive Impact Statement,Competitive Impact Statement,antitrust,,
http://www.justice.gov/atr/cases/almaye0.htm,http://www.justice.gov/atr/cases/f205400/205421.htm,5/30/1996,U.S. v. A & L Mayer Associates - Complaint,Complaints,antitrust,,
http://www.justice.gov/atr/cases/indx59.htm,http://www.justice.gov/atr/cases/f1900/1991.htm,9/30/1998,Information,Informations,antitrust,,
http://www.justice.gov/atr/cases/indx303.htm,http://www.justice.gov/atr/cases/f8000/8070.htm,4/11/2001,Joint Rule 11 Memorandum,Plea Agreements / Rule 11 Memoranda,antitrust,,
http://www.justice.gov/atr/cases/indx303.htm,http://www.justice.gov/atr/cases/f8000/8059.htm,4/11/2001,Plea Agreements,Plea Agreements / Rule 11 Memoranda,antitrust,,
http://www.justice.gov/atr/cases/indx303.htm,http://www.justice.gov/atr/cases/f8000/8053.htm,4/11/2001,Information,Informations,antitrust,,
http://www.justice.gov/atr/cases/abitibi.htm,http://www.justice.gov/atr/cases/f239400/239449.htm,11/6/2008,Final Judgment,Final Judgments + Proposed Final Judgments,antitrust,,
http://www.justice.gov/atr/cases/abitibi.htm,http://www.justice.gov/atr/cases/f239200/239237.htm,11/6/2008,Memorandum Opinion,Court Opinions,antitrust,,
http://www.justice.gov/atr/cases/abitibi.htm,http://www.justice.gov/atr/cases/f236400/236438.pdf,8/22/2008,Declaration of Nicholas Hill,Responses to Public Comments,antitrust,,
http://www.justice.gov/atr/cases/abitibi.htm,http://www.justice.gov/atr/cases/f236400/236437.htm,8/8/2008,Reply By the United States to NAA's Opposition to Motion for Entry of the Proposed Final Judgment,Responses to Public Comments,antitrust,,
http://www.justice.gov/atr/cases/abitibi.htm,http://www.justice.gov/atr/cases/f234400/234403.htm,6/18/2008,[Proposed] Final Judgment ,Final Judgments + Proposed Final Judgments,antitrust,,
http://www.justice.gov/atr/cases/abitibi.htm,http://www.justice.gov/atr/cases/f234400/234402.htm,6/18/2008,Parties' Joint Proposed Briefing Schedule for the United States' Motion for Entry of the Proposed Final Judgment,Final Judgments + Proposed Final Judgments,antitrust,,
http://www.justice.gov/atr/cases/abitibi.htm,http://www.justice.gov/atr/cases/f234400/234401.htm,6/18/2008,Certificate of Compliance with Provisions of the Antitrust Procedures and Penalties Act,Certificates of Compliance with APPA,antitrust,,
http://www.justice.gov/atr/cases/abitibi.htm,http://www.justice.gov/atr/cases/f234400/234400.htm,6/18/2008,Motion for Entry of Proposed Final Judgment and Memorandum in Support,Final Judgments + Proposed Final Judgments,antitrust,,
http://www.justice.gov/atr/cases/abitibi.htm,http://www.justice.gov/atr/cases/f234800/234815.htm,4/21/2008,Response of Plaintiff United States to the NAA's Motion for Leave to Appear as Amicus Curiae,Amicus Curiae Briefs,antitrust,,
http://www.justice.gov/atr/cases/abitibi.htm,http://www.justice.gov/atr/cases/f234000/234069.htm,4/18/2008,Response of Plaintiff United States to Public Comments on the Proposed Final Judgment,Responses to Public Comments,antitrust,,
http://www.justice.gov/atr/cases/abitibi.htm,http://www.justice.gov/atr/cases/f227100/227109.htm,10/23/2007,Notice Of Filing,Motions and Memoranda - Miscellaneous,antitrust,,
http://www.justice.gov/atr/cases/abitibi.htm,http://www.justice.gov/atr/cases/f227100/227110.htm,10/23/2007,Certificate of Service,Orders - Miscellaneous,antitrust,,
http://www.justice.gov/atr/cases/abitibi.htm,http://www.justice.gov/atr/cases/f227100/227113.htm,10/23/2007,Plaintiff United States' Explanation of Consent Decree Procedures,Explanation of Consent Decree Procedures,antitrust,,
http://www.justice.gov/atr/cases/abitibi.htm,http://www.justice.gov/atr/cases/f227100/227108.htm,10/23/2007,Competitive Impact Statement,Competitive Impact Statement,antitrust,,
http://www.justice.gov/atr/cases/abitibi.htm,http://www.justice.gov/atr/cases/f227100/227111.htm,10/23/2007,[Proposed] Final Judgment,Final Judgments + Proposed Final Judgments,antitrust,,
http://www.justice.gov/atr/cases/abitibi.htm,http://www.justice.gov/atr/cases/f227100/227112.htm,10/23/2007,Asset Preservation Stipulation and [Proposed] Order ,Stipulations - Miscellaneous,antitrust,,
