Industry,Code
Dairy Farms,241
Finfish,912
Shellfish,913
Miscellaneous Marine Products,919
Crude Petroleum and Natural Gas,1311
Natural Gas Liquids,1321
"Oil and Gas Field Services, NEC",1389
Crushed and Broken Limestone,1422
"Crushed and Broken Stone, NEC",1429
Construction Sand and Gravel,1442
Kaolin and Ball Clay,1455
"Clay and Related Minerals, NEC",1459
"Potash, Soda, & Borate Minerals",1474
"Chemical and Fertilizer Mining, NEC",1479
"Bridge, Tunnel, & Elevated Highway",1622
"Water, Sewer, and Utility Lines",1623
"Heavy Construction, NEC",1629
Masonry and Other Stonework,1741
Roofing & Sheet Metal Work,1761
Glass and Glazing Work,1793
Meatpacking Plants,2011
Sausages and Other Prepared Meats,2013
Creamery Butter,2021
Condensed and Evaporated Milk,2023
Ice Cream and Frozen Desserts,2024
Fluid Milk,2026
"Prepared Feeds, NEC",2048
"Bread, Cake, and Related Products",2051
Bottled and Canned Soft Drinks,2086
"Weaving Mills, Manmade Fiber, Silk",2221
Carpets and Rugs,2273
Men's and Boys' Suits and Coats,2311
Millwork,2431
Mobile Homes,2451
"Papermills, Except Building Paper",2621
Paperboard Mills,2631
Newspapers,2711
Periodicals,2721
Book Publishing,2731
Miscellaneous Publishing,2741
"Industrial Inorganic Chemicals, NEC",2819
"Organic Fibers, Noncellulosic",2824
Medicinals and Botanicals,2833
Toilet Preparations,2844
,2868
"Industrial Organic Chemicals, NEC",2869
Nitrogenous Fertilizers,2873
Phosphatic Fertilizers,2874
Explosives,2892
"Chemical Preparations, NEC",2899
Tires and Inner Tubes,3011
Unsupported Plastic Film & Sheet,3081
"Laminated Plastic Plate, Sheet, and Profile Shapes",3083
"Plastics Products, NEC",3089
Luggage,3161
Flat Glass,3211
Ceramic Wall and Floor Tile,3253
Gypsum Products,3275
Cut Stone and Stone Products,3281
Abrasive Products,3291
Electrometallurgical Products,3313
Primary Aluminum,3334
Secondary Nonferrous Metals,3341
"Aluminum Sheet, Plate, and Foil",3353
Aluminum Extruded Products,3354
"Aluminum, Rolling and Drawing, NEC",3355
Aluminum Die-Castings,3363
Metal Cans,3411
"Metal Barrels, Drums, and Pails",3412
"Hardware, NEC",3429
Sheet Metalwork,3444
"Ammunition, Exc. for Small Arms, NEC",3483
Industrial Values,3491
Misc. Fabricated Wire Products,3496
Farm Machinery and Equipment,3523
Construction Machinery,3531
Oilfield Machinery,3533
Industrial Patterns,3543
Pumps and Pumping Equipment,3561
Computer Storage Devices,3572
Electronic Computing Equipment,3573
"Office Machines, Typewriters, etc.",3579
Measuring and Dispensing Pumps,3586
Carbon and Graphite Products,3624
"Electrical Industrial Apparatus, NEC",3629
Telephone and Telegraph Apparatus,3661
Radio and TV Communication Equipment,3662
Radio & TV Communications Equipment,3663
Semiconductors and Related Devices,3674
Motor Vehicles and Car Bodies,3711
"Aircraft Equipment, NEC",3728
Ship Building and Repairing,3731
Guided Missiles and Space Vehicles,3761
"Transportation Equipment, NEC",3799
Search and Navigation Equipment,3812
Process Control Instruments,3823
"Measuring and Controlling Devices, NEC",3829
Dental Equipment and Supplies,3843
Photographic Equipment and Supplies,3861
"Games, Toys, and Children's Vehicles",3944
"Sporting and Athletic Goods, NEC",3949
Signs and Advertising Displays,3993
Intercity Highway Transportation,4131
"Local Trucking, Without Storage",4212
"Water Transportation of Freight, NEC",4449
"Water Transportation Services, NEC",4499
"Air Transportation, Scheduled",4512
"Airports, Flying Fields, & Services",4581
Travel Agencies,4724
Arrangement of Transportation of Freight and Cargo,4731
"Transportation Services, NEC",4789
Telephone Communications,4811
Radiotelephone Communications,4812
"Telephone Communications, Exc. Radio",4813
Telegraph & Other Communications,4822
Radio Broadcasting,4832
Television Broadcasting,4833
Cable and Other Pay TV Services,4841
"Communication Services, NEC",4899
Electric Services,4911
