usao-mdal,Middle District of Alabama,George L. Beck
usao-ndal,Northern District of Alabama,Joyce White Vance
usao-sdal,Southern District of Alabama,Kenyen Ray Brown
usao-ak,District of Alaska,Karen L. Loeffler
usao-az,District of Arizona,John S. Leonardo
usao-edar,Eastern District of Arkansas,Christopher R. Thyer
usao-wdar,Western District of Arkansas,Conner Eldridge
usao-cdca,Central District of California,"André Birotte, Jr."
usao-edca,Eastern District of California,Benjamin B. Wagner
usao-edca-espanol,Eastern District of California Espanol,Benjamin B. Wagner
usao-ndca,Northern District of California,Melinda L. Haag
usao-sdca,Southern District of California,Laura E. Duffy
usao-co,District of Colorado,John F. Walsh
usao-ct,District of Connecticut,Deirdre Daly
usao-de,District of Delaware,"Charles M. Oberly, III"
usao-dc,District of District of Columbia,Ronald C. Machen
usao-mdfl,Middle District of Florida,Lee  Bentley
usao-ndfl,Northern District of Florida,Pamela C. Marsh
usao-sdfl,Southern District of Florida,Wifredo A. Ferrer
usao-sdfl-creole,Southern District of Florida Creole,Wifredo A. Ferrer
usao-sdfl-espanol,Southern District of Florida Espanol,Wifredo A. Ferrer
usao-mdga,Middle District of Georgia,Michael J. Moore
usao-ndga,Northern District of Georgia,Sally Quillian Yates
usao-sdga,Southern District of Georgia,Edward J. Tarver
usao-gu,District of Guam & the Northern Mariana Islands,Alicia A.G. Limtiaco
usao-hi,District of Hawaii,Florence T. Nakakuni
usao-id,District of Idaho,Wendy J. Olson
usao-cdil,Central District of Illinois,James A. Lewis
usao-ndil,Northern District of Illinois,Zachary T. Fardon
usao-sdil,Southern District of Illinois,Stephen R. Wigginton
usao-ndin,Northern District of Indiana,David A. Capp
usao-sdin,Southern District of Indiana,Joseph H. Hogsett
usao-ndia,Northern District of Iowa,Sean Berry
usao-sdia,Southern District of Iowa,Nicholas A. Klinefeldt
usao-ks,District of Kansas,Barry R. Grissom
usao-edky,Eastern District of Kentucky,Kerry B. Harvey
usao-wdky,Western District of Kentucky,David J. Hale
usao-edla,Eastern District of Louisiana,Kenneth A. Polite
usao-mdla,Middle District of Louisiana,Walt  Green
usao-wdla,Western District of Louisiana,Stephanie A. Finley
usao-me,District of Maine,"Thomas Edward Delahanty, II"
usao-md,District of Maryland,Rod J. Rosenstein
usao-ma,District of Massachusetts,Carmen Milagros Ortiz
usao-edmi,Eastern District of Michigan,Barbara L. McQuade
usao-wdmi,Western District of Michigan,"Patrick A. Miles, Jr."
usao-mn,District of Minnesota,John Marti
usao-ndms,Northern District of Mississippi,Felicia Adams
usao-sdms,Southern District of Mississippi,Gregory K.  Davis
usao-edmo,Eastern District of Missouri,Richard G. Callahan
usao-wdmo,Western District of Missouri,Tammy  Dickinson
usao-mt,District of Montana,Michael Cotter
usao-ne,District of Nebraska,Deborah K.R. Gilg
usao-nv,District of Nevada,Daniel G. Bogden
usao-nh,District of New Hampshire,John P. Kacavas
usao-nj,District of New Jersey,Paul J. Fishman
usao-nm,District of New Mexico,Steven Yarbrough
usao-edny,Eastern District of New York,Loretta E. Lynch
usao-ndny,Northern District of New York,Richard S. Hartunian
usao-sdny,Southern District of New York,Preet Bharara
usao-wdny,Western District of New York,"William J. Hochul, Jr."
usao-ednc,Eastern District of North Carolina,Thomas G. Walker
usao-mdnc,Middle District of North Carolina,Ripley Rand
usao-wdnc,Western District of North Carolina,Anne Tompkins
usao-nd,District of North Dakota,Timothy Q. Purdon
usao-ndoh,Northern District of Ohio,Steven M. Dettelbach
usao-sdoh,Southern District of Ohio,Carter M. Stewart
usao-edok,Eastern District of Oklahoma,Mark F. Green
usao-ndok,Northern District of Oklahoma,Danny Williams
usao-wdok,Western District of Oklahoma,Sanford Coats
usao-or,District of Oregon,S. Amanda Marshall
usao-edpa,Eastern District of Pennsylvania,Zane D. Memeger
usao-mdpa,Middle District of Pennsylvania,Peter J. Smith
usao-wdpa,Western District of Pennsylvania,David J. Hickton
usao-pr,District of Puerto Rico,Rosa E. Rodriguez-Velez
usao-ri,District of Rhode Island,Peter  F. Neronha
usao-sc,District of South Carolina,William N. Nettles
usao-sd,District of South Dakota,Brendan V. Johnson
usao-edtn,Eastern District of Tennessee,William C. Killian
usao-espanol,Fiscales Federales
usao-mdtn,Middle District of Tennessee,David Rivera
usao-wdtn,Western District of Tennessee,"Edward L. Stanton, III"
usao-edtx,Eastern District of Texas,John Malcolm Bales
usao-ndtx,Northern District of Texas,Sarah R. Salda
usao-sdtx,Southern District of Texas,Kenneth Magidson
usao-wdtx,Western District of Texas,Robert  L. Pitman
usao-ut,District of Utah,David B. Barlow
usao-vt,District of Vermont,Tristram J. Coffin
usao-vi,District of Virgin Islands,Ronald W. Sharpe
usao-edva,Eastern District of Virginia,Dana Boente
usao-wdva,Western District of Virginia,Timothy J. Heaphy
usao-edwa,Eastern District of Washington,Michael Ormsby
usao-wdwa,Western District of Washington,Jenny A. Durkan
usao-ndwv,Northern District of West Virginia,"William J. Ihlenfeld, II"
usao-sdwv,Southern District of West Virginia,"R. Booth Goodwin, II"
usao-edwi,Eastern District of Wisconsin,James Santelle
usao-wdwi,Western District of Wisconsin,John William Vaudreuil
usao-wy,District of Wyoming,Christopher A. Crofts
mii,Medical Integrity Institute,n/a
usam,U.S. Attorneys Manual,
